"","X","Genome","Order","Family","Genus","VC","VC.Status","Size","VC.Subcluster","VC.Subcluster.Size","Quality","Adj.P.value","Topology.Confidence.Score","Genera.in.VC","Families.in.VC","Orders.in.VC","Genus.Confidence.Score"
"27",26,"Acinetobacter~phage~ZZ1","Unassigned","Unassigned","Unassigned","29_3","Clustered",2,"VC_29_3",2,0.0162,0.956018,0.0155,1,1,1,1
"28",27,"Acinetobacter~phage~phiAB1","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"29",28,"Acinetobacter~phage~phiAB6","Unassigned","Unassigned","Unassigned","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"30",29,"Acinetobacter~phage~vB_AbaM_Acibel004","Unassigned","Unassigned","Unassigned","40_0","Clustered",2,"VC_40_0",2,0.192,0.95158527,0.1827,1,1,1,1
"31",30,"Acinetobacter~phage~vB_AbaM_IME200","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"32",31,"Acinetobacter~phage~vB_AbaM_phiAbaA1","Unassigned","Unassigned","Unassigned","40_0","Clustered",2,"VC_40_0",2,0.192,0.95158527,0.1827,1,1,1,1
"33",32,"Acinetobacter~phage~vB_AbaP_Acibel007","Unassigned","Unassigned","Unassigned","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"34",33,"Acinetobacter~phage~vB_AbaP_PD-6A3","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"35",34,"Acinetobacter~phage~vB_AbaP_PD-AB9","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"36",35,"Acinetobacter~phage~vB_AbaS_TRS1","Unassigned","Unassigned","Unassigned","35_0","Clustered",2,"VC_35_0",2,0.1681,0.94917208,0.1596,1,1,1,1
"37",36,"Acinetobacter~virus~133","Caudovirales","Myoviridae","Unassigned","29_6","Clustered/Singleton",1,"VC_29_6",1,0,1,0,1,1,1,1
"38",37,"Actinomyces~virus~Av1","Caudovirales","Podoviridae","Unassigned","47_0","Clustered",3,"VC_47_0",3,0.1357,0.57246935,0.0777,2,2,2,1
"39",38,"Aeromonas~phage~Aes012","Caudovirales","Myoviridae","Secunda5virus","30_1","Clustered",5,"VC_30_1",5,0.1037,0.99999994,0.1037,1,1,1,0.8
"40",39,"Aeromonas~phage~Aes508","Caudovirales","Myoviridae","Secunda5virus","30_1","Clustered",5,"VC_30_1",5,0.1037,0.99999994,0.1037,1,1,1,0.8
"41",40,"Aeromonas~phage~CC2","Unassigned","Unassigned","Unassigned","31_0","Clustered",2,"VC_31_0",2,0.0339,0.95681471,0.0324,1,2,2,1
"42",41,"Aeromonas~phage~PX29","Unassigned","Unassigned","Unassigned","31_1","Clustered",3,"VC_31_1",3,0.0608,0.99854301,0.0607,1,2,2,1
"43",42,"Aeromonas~phage~pAh6-C","Unassigned","Unassigned","Unassigned","54_0","Clustered",5,"VC_54_0",5,1,1,1,1,1,1,1
"44",43,"Aeromonas~phage~phiAS4","Caudovirales","Myoviridae","Secunda5virus","30_1","Clustered",5,"VC_30_1",5,0.1037,0.99999994,0.1037,1,1,1,0.8
"45",44,"Aeromonas~phage~phiAS5","Unassigned","Unassigned","Unassigned","31_1","Clustered",3,"VC_31_1",3,0.0608,0.99854301,0.0607,1,2,2,1
"46",45,"Aeromonas~phage~phiAS7","Unassigned","Unassigned","Unassigned","56_0","Clustered",5,"VC_56_0",5,0.5262,0.99999993,0.5262,1,1,1,1
"47",46,"Aeromonas~phage~vB_AsaM-56","Unassigned","Unassigned","Unassigned","24_0","Clustered",2,"VC_24_0",2,0.0382,0.92865577,0.0355,1,1,1,1
"48",47,"Aeromonas~virus~25","Caudovirales","Myoviridae","Secunda5virus","30_1","Clustered",5,"VC_30_1",5,0.1037,0.99999994,0.1037,1,1,1,0.8
"49",48,"Aeromonas~virus~31","Caudovirales","Myoviridae","Secunda5virus","30_0","Clustered",2,"VC_30_0",2,0.0244,0.94832293,0.0231,2,1,1,1
"50",49,"Aeromonas~virus~44RR2","Caudovirales","Myoviridae","Biquartavirus","30_0","Clustered",2,"VC_30_0",2,0.0244,0.94832293,0.0231,2,1,1,1
"51",50,"Aeromonas~virus~65","Caudovirales","Myoviridae","Unassigned","31_0","Clustered",2,"VC_31_0",2,0.0339,0.95681471,0.0324,1,2,2,1
"52",51,"Aeromonas~virus~Aeh1","Caudovirales","Myoviridae","Unassigned","31_1","Clustered",3,"VC_31_1",3,0.0608,0.99854301,0.0607,1,2,2,1
"53",52,"Aeromonas~virus~phiO18P","Caudovirales","Myoviridae","Hp1virus","60_0","Clustered",9,"VC_60_0",9,0.5219,1,0.5219,2,2,2,1
"54",53,"Aggregatibacter~phage~S1249","Unassigned","Unassigned","Unassigned","5_0","Clustered",2,"VC_5_0",2,0.6357,0.93003234,0.5912,1,1,1,1
"55",54,"Agrobacterium~phage~7-7-1","Unassigned","Unassigned","Unassigned","65_0","Clustered",3,"VC_65_0",3,0.1877,0.94852022,0.178,2,2,2,1
"56",55,"Archaeal~BJ1~virus","Unassigned","Unassigned","Unassigned","68_0","Clustered",2,"VC_68_0",2,0.8409,0.72985431,0.6137,1,1,1,1
"57",56,"Arthrobacter~phage~BarretLemon","Caudovirales","Myoviridae","Chippewavirus","69_0","Clustered",2,"VC_69_0",2,1,1,1,2,1,1,1
"58",57,"Arthrobacter~phage~KellEzio","Caudovirales","Siphoviridae","Kelleziovirus","71_0","Clustered",2,"VC_71_0",2,1,1,1,1,1,1,1
"59",58,"Arthrobacter~phage~Kitkat","Caudovirales","Siphoviridae","Kelleziovirus","71_0","Clustered",2,"VC_71_0",2,1,1,1,1,1,1,1
"60",59,"Arthrobacter~phage~vB_ArtM-ArV1","Caudovirales","Myoviridae","Arvunavirus","69_0","Clustered",2,"VC_69_0",2,1,1,1,2,1,1,1
"61",60,"Bacillus~phage~AR9","Unassigned","Unassigned","Unassigned","82_0","Clustered/Singleton",1,"VC_82_0",1,0,1,0,1,1,1,1
"62",61,"Bacillus~phage~Aurora","Unassigned","Unassigned","Unassigned","46_0","Clustered",4,"VC_46_0",4,0.6409,0.99991416,0.6409,1,1,1,1
"63",62,"Bacillus~phage~BM5","Unassigned","Unassigned","Unassigned","83_0","Clustered/Singleton",1,"VC_83_0",1,0,1,0,1,1,1,1
"64",63,"Bacillus~phage~BPS10C","Unassigned","Unassigned","Unassigned","84_1","Clustered",4,"VC_84_1",4,0.07,0.99902722,0.0699,2,2,2,1
"65",64,"Bacillus~phage~BPS13","Caudovirales","Myoviridae","Wphvirus","84_1","Clustered",4,"VC_84_1",4,0.07,0.99902722,0.0699,2,2,2,1
"66",65,"Bacillus~phage~Bam35c","Unassigned","Tectiviridae","Betatectivirus","106_0","Clustered",4,"VC_106_0",4,1,1,1,1,1,1,1
"67",66,"Bacillus~phage~Belinda","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"68",67,"Bacillus~phage~BtCS33","Unassigned","Unassigned","Unassigned","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"69",68,"Bacillus~phage~CP-51","Caudovirales","Myoviridae","Cp51virus","85_0","Clustered",3,"VC_85_0",3,0.5746,0.99617132,0.5724,1,1,1,1
"70",69,"Bacillus~phage~Claudi","Unassigned","Unassigned","Unassigned","46_0","Clustered",4,"VC_46_0",4,0.6409,0.99991416,0.6409,1,1,1,1
"71",70,"Bacillus~phage~DIGNKC","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"72",71,"Bacillus~phage~DirtyBetty","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"73",72,"Bacillus~phage~Eyuki","Caudovirales","Myoviridae","Wphvirus","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"74",73,"Bacillus~phage~Fah","Unassigned","Unassigned","Unassigned","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"75",74,"Bacillus~phage~GIL16c","Unassigned","Tectiviridae","Betatectivirus","106_0","Clustered",4,"VC_106_0",4,1,1,1,1,1,1,1
"76",75,"Bacillus~phage~Gamma","Unassigned","Unassigned","Unassigned","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"77",76,"Bacillus~phage~Hakuna","Caudovirales","Myoviridae","Wphvirus","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"78",77,"Bacillus~phage~JL","Caudovirales","Myoviridae","Cp51virus","85_0","Clustered",3,"VC_85_0",3,0.5746,0.99617132,0.5724,1,1,1,1
"79",78,"Bacillus~phage~Kida","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"80",79,"Bacillus~phage~MG-B1","Unassigned","Unassigned","Unassigned","46_0","Clustered",4,"VC_46_0",4,0.6409,0.99991416,0.6409,1,1,1,1
"81",80,"Bacillus~phage~Megatron","Caudovirales","Myoviridae","Wphvirus","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"82",81,"Bacillus~phage~Nemo","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"83",82,"Bacillus~phage~Nigalana","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"84",83,"Bacillus~phage~NotTheCreek","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"85",84,"Bacillus~phage~Page","Caudovirales","Podoviridae","Pagevirus","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"86",85,"Bacillus~phage~Palmer","Caudovirales","Podoviridae","Pagevirus","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"87",86,"Bacillus~phage~Pascal","Caudovirales","Podoviridae","Pagevirus","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"88",87,"Bacillus~phage~Pavlov","Unassigned","Unassigned","Unassigned","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"89",88,"Bacillus~phage~Pony","Caudovirales","Podoviridae","Pagevirus","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"90",89,"Bacillus~phage~Pookie","Caudovirales","Podoviridae","Pagevirus","99_0","Clustered",6,"VC_99_0",6,0.8771,0.99999833,0.8771,2,2,2,1
"91",90,"Bacillus~phage~SPBc2","Caudovirales","Siphoviridae","Spbetavirus","86_0","Clustered/Singleton",1,"VC_86_0",1,0,1,0,1,1,1,1
"92",91,"Bacillus~phage~SPP1","Unassigned","Unassigned","Unassigned","117_0","Clustered",2,"VC_117_0",2,0.1717,0.94579071,0.1624,1,1,1,1
"93",92,"Bacillus~phage~SageFayge","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"94",93,"Bacillus~phage~SalinJah","Unassigned","Unassigned","Unassigned","84_1","Clustered",4,"VC_84_1",4,0.07,0.99902722,0.0699,2,2,2,1
"95",94,"Bacillus~phage~Shanette","Caudovirales","Myoviridae","Cp51virus","85_0","Clustered",3,"VC_85_0",3,0.5746,0.99617132,0.5724,1,1,1,1
"96",95,"Bacillus~phage~Slash","Caudovirales","Siphoviridae","Slashvirus","113_0","Clustered",4,"VC_113_0",4,0.9984,0.96662349,0.9651,1,1,1,1
"97",96,"Bacillus~phage~Stahl","Caudovirales","Siphoviridae","Slashvirus","113_0","Clustered",4,"VC_113_0",4,0.9984,0.96662349,0.9651,1,1,1,1
"98",97,"Bacillus~phage~Staley","Caudovirales","Siphoviridae","Slashvirus","113_0","Clustered",4,"VC_113_0",4,0.9984,0.96662349,0.9651,1,1,1,1
"99",98,"Bacillus~phage~Stills","Caudovirales","Siphoviridae","Slashvirus","113_0","Clustered",4,"VC_113_0",4,0.9984,0.96662349,0.9651,1,1,1,1
"100",99,"Bacillus~phage~Stitch","Unassigned","Unassigned","Unassigned","46_0","Clustered",4,"VC_46_0",4,0.6409,0.99991416,0.6409,1,1,1,1
"101",100,"Bacillus~phage~TP21-L","Caudovirales","Siphoviridae","Tp21virus","111_0","Clustered",2,"VC_111_0",2,0.7414,0.85557782,0.6344,1,1,1,1
"102",101,"Bacillus~phage~W.Ph.","Caudovirales","Myoviridae","Wphvirus","84_1","Clustered",4,"VC_84_1",4,0.07,0.99902722,0.0699,2,2,2,1
"103",102,"Bacillus~phage~Wip1","Unassigned","Tectiviridae","Betatectivirus","106_0","Clustered",4,"VC_106_0",4,1,1,1,1,1,1,1
"104",103,"Bacillus~phage~Zuko","Unassigned","Unassigned","Unassigned","84_0","Clustered",12,"VC_84_0",12,0.3151,1,0.3151,2,2,2,1
"105",104,"Bacillus~phage~phIS3501","Unassigned","Unassigned","Unassigned","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"106",105,"Bacillus~phage~phiCM3","Unassigned","Unassigned","Unassigned","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"107",106,"Bacillus~phage~vB_BanS-Tsamsa","Unassigned","Unassigned","Unassigned","86_3","Clustered/Singleton",1,"VC_86_3",1,0,1,0,1,1,1,1
"108",107,"Bacillus~virus~1","Caudovirales","Myoviridae","Svunavirus","101_0","Clustered",2,"VC_101_0",2,0.3785,0.94119935,0.3562,1,1,1,1
"109",108,"Bacillus~virus~250","Caudovirales","Siphoviridae","Cecivirus","90_0","Clustered",2,"VC_90_0",2,0.4285,0.94526139,0.405,1,1,1,1
"110",109,"Bacillus~virus~AP50","Unassigned","Tectiviridae","Betatectivirus","106_0","Clustered",4,"VC_106_0",4,1,1,1,1,1,1,1
"111",110,"Bacillus~virus~Andromeda","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"112",111,"Bacillus~virus~BMBtp2","Caudovirales","Siphoviridae","Tp21virus","111_0","Clustered",2,"VC_111_0",2,0.7414,0.85557782,0.6344,1,1,1,1
"113",112,"Bacillus~virus~Blastoid","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"114",113,"Bacillus~virus~Curly","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"115",114,"Bacillus~virus~Eoghan","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"116",115,"Bacillus~virus~Finn","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"117",116,"Bacillus~virus~Glittering","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"118",117,"Bacillus~virus~IEBH","Caudovirales","Siphoviridae","Cecivirus","90_0","Clustered",2,"VC_90_0",2,0.4285,0.94526139,0.405,1,1,1,1
"119",118,"Bacillus~virus~Riggi","Caudovirales","Siphoviridae","Andromedavirus","131_0","Clustered",7,"VC_131_0",7,1,1,1,1,1,1,1
"120",119,"Bacillus~virus~Wbeta","Caudovirales","Siphoviridae","Wbetavirus","100_0","Clustered",6,"VC_100_0",6,0.5841,1,0.5841,2,2,2,1
"121",120,"Bacteriophage~APSE-2","Unassigned","Unassigned","Unassigned","133_0","Clustered",3,"VC_133_0",3,0.1603,0.9971398,0.1599,1,2,2,1
"122",121,"Bacteriophage~Lily","Unassigned","Unassigned","Unassigned","139_0","Clustered",2,"VC_139_0",2,0.0777,0.57646072,0.0448,1,1,1,1
"123",122,"Bacteroides~phage~B124-14","Unassigned","Unassigned","Unassigned","115_0","Clustered",2,"VC_115_0",2,0.5038,0.94532786,0.4762,1,1,1,1
"124",123,"Bacteroides~phage~B40-8","Unassigned","Unassigned","Unassigned","115_0","Clustered",2,"VC_115_0",2,0.5038,0.94532786,0.4762,1,1,1,1
"125",124,"Bdellovibrio~phage~phiMH2K","Unassigned","Microviridae","Bdellomicrovirus","141_0","Clustered",12,"VC_141_0",12,0.8949,1,0.8949,3,2,1,1
"126",125,"Bordetella~virus~BPP1","Caudovirales","Podoviridae","Bpp1virus","132_0","Clustered",5,"VC_132_0",5,0.1334,0.88929266,0.1186,2,2,2,0.9
"127",126,"Brevibacillus~phage~Abouo","Caudovirales","Myoviridae","Abouovirus","102_0","Clustered",4,"VC_102_0",4,0.7321,0.99995587,0.732,2,1,1,1
"128",127,"Brevibacillus~phage~Davies","Caudovirales","Myoviridae","Abouovirus","102_0","Clustered",4,"VC_102_0",4,0.7321,0.99995587,0.732,2,1,1,1
"129",128,"Brevibacillus~phage~Jimmer1","Caudovirales","Myoviridae","Jimmervirus","102_0","Clustered",4,"VC_102_0",4,0.7321,0.99995587,0.732,2,1,1,1
"130",129,"Brevibacillus~phage~Osiris","Caudovirales","Myoviridae","Jimmervirus","102_0","Clustered",4,"VC_102_0",4,0.7321,0.99995587,0.732,2,1,1,1
"131",130,"Brevibacillus~phage~Sundance","Unassigned","Unassigned","Unassigned","86_4","Clustered/Singleton",1,"VC_86_4",1,0,1,0,1,1,1,1
"132",131,"Brochothrix~phage~NF5","Unassigned","Unassigned","Unassigned","103_0","Clustered/Singleton",1,"VC_103_0",1,0,1,0,1,1,1,1
"133",132,"Brucella~phage~BiPBO1","Unassigned","Unassigned","Unassigned","150_0","Clustered",2,"VC_150_0",2,0.6919,0.72985431,0.505,1,1,1,1
"134",133,"Brucella~phage~Pr","Caudovirales","Podoviridae","Prtbvirus","151_0","Clustered",2,"VC_151_0",2,0.8377,0.93376822,0.7822,1,1,1,1
"135",134,"Brucella~phage~Tb","Caudovirales","Podoviridae","Prtbvirus","151_0","Clustered",2,"VC_151_0",2,0.8377,0.93376822,0.7822,1,1,1,1
"136",135,"Burkholderia~phage~Bcep176","Unassigned","Unassigned","Unassigned","157_0","Clustered",5,"VC_157_0",5,0.5219,0.99999993,0.5219,2,2,2,1
"137",136,"Burkholderia~phage~BcepB1A","Unassigned","Unassigned","Unassigned","164_0","Clustered",2,"VC_164_0",2,0.0538,0.94977929,0.0511,1,1,1,1
"138",137,"Burkholderia~phage~JG068","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
"139",138,"Burkholderia~phage~KL1","Caudovirales","Siphoviridae","Septima3virus","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"140",139,"Burkholderia~phage~KL3","Unassigned","Unassigned","Unassigned","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"141",140,"Burkholderia~phage~KS14","Unassigned","Unassigned","Unassigned","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"142",141,"Burkholderia~phage~KS5","Unassigned","Unassigned","Unassigned","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"143",142,"Burkholderia~phage~KS9","Unassigned","Unassigned","Unassigned","157_0","Clustered",5,"VC_157_0",5,0.5219,0.99999993,0.5219,2,2,2,1
"144",143,"Burkholderia~phage~ST79","Unassigned","Unassigned","Unassigned","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"145",144,"Burkholderia~virus~Bcep1","Caudovirales","Myoviridae","Bcep78virus","58_0","Clustered",4,"VC_58_0",4,0.7145,0.9998533,0.7144,1,1,1,1
"146",145,"Burkholderia~virus~Bcep22","Caudovirales","Podoviridae","Bcep22virus","170_0","Clustered",4,"VC_170_0",4,0.7433,0.99995292,0.7433,1,1,1,1
"147",146,"Burkholderia~virus~Bcep43","Caudovirales","Myoviridae","Bcep78virus","58_0","Clustered",4,"VC_58_0",4,0.7145,0.9998533,0.7144,1,1,1,1
"148",147,"Burkholderia~virus~Bcep781","Caudovirales","Myoviridae","Bcep78virus","58_0","Clustered",4,"VC_58_0",4,0.7145,0.9998533,0.7144,1,1,1,1
"149",148,"Burkholderia~virus~BcepC6B","Caudovirales","Podoviridae","Bpp1virus","132_0","Clustered",5,"VC_132_0",5,0.1334,0.88929266,0.1186,2,2,2,0.9
"150",149,"Burkholderia~virus~BcepMu","Caudovirales","Myoviridae","Bcepmuvirus","138_0","Clustered",2,"VC_138_0",2,0.2468,0.94573679,0.2334,1,1,1,1
"151",150,"Burkholderia~virus~BcepNY3","Caudovirales","Myoviridae","Bcep78virus","58_0","Clustered",4,"VC_58_0",4,0.7145,0.9998533,0.7144,1,1,1,1
"152",151,"Burkholderia~virus~Bcepil02","Caudovirales","Podoviridae","Bcep22virus","170_0","Clustered",4,"VC_170_0",4,0.7433,0.99995292,0.7433,1,1,1,1
"153",152,"Burkholderia~virus~Bcepmigl","Caudovirales","Podoviridae","Bcep22virus","170_0","Clustered",4,"VC_170_0",4,0.7433,0.99995292,0.7433,1,1,1,1
"154",153,"Burkholderia~virus~DC1","Caudovirales","Podoviridae","Bcep22virus","170_0","Clustered",4,"VC_170_0",4,0.7433,0.99995292,0.7433,1,1,1,1
"155",154,"Burkholderia~virus~phi1026b","Caudovirales","Siphoviridae","E125virus","157_0","Clustered",5,"VC_157_0",5,0.5219,0.99999993,0.5219,2,2,2,1
"156",155,"Burkholderia~virus~phi52237","Caudovirales","Myoviridae","P2virus","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"157",156,"Burkholderia~virus~phi6442","Caudovirales","Siphoviridae","E125virus","157_0","Clustered",5,"VC_157_0",5,0.5219,0.99999993,0.5219,2,2,2,1
"158",157,"Burkholderia~virus~phiE122","Caudovirales","Myoviridae","P2virus","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"159",158,"Burkholderia~virus~phiE125","Caudovirales","Siphoviridae","E125virus","157_0","Clustered",5,"VC_157_0",5,0.5219,0.99999993,0.5219,2,2,2,1
"160",159,"Burkholderia~virus~phiE202","Caudovirales","Myoviridae","P2virus","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"161",160,"Burkholderia~virus~phiE255","Caudovirales","Myoviridae","Bcepmuvirus","138_0","Clustered",2,"VC_138_0",2,0.2468,0.94573679,0.2334,1,1,1,1
"162",161,"Campylobacter~phage~CP30A","Caudovirales","Myoviridae","Cp8virus","172_0","Clustered",4,"VC_172_0",4,0.8117,0.99996442,0.8116,2,2,2,1
